team,points,goals_against_per_match,shots_against_per_match,shot_on_target_rate_against,opponent_goal_conversion_rate,defensive_profile
"Man City",71,1.16,9.34,0.372,0.124,"Low volume conceded / high conversion conceded"
Arsenal,74,0.89,9.53,0.332,0.094,"Low volume conceded / low conversion conceded"
Liverpool,84,1.08,10.18,0.364,0.106,"Low volume conceded / low conversion conceded"
Chelsea,69,1.13,10.47,0.395,0.108,"Low volume conceded / low conversion conceded"
"Man United",42,1.42,10.92,0.366,0.130,"Low volume conceded / high conversion conceded"
Brighton,61,1.55,11.24,0.349,0.138,"Low volume conceded / high conversion conceded"
Fulham,54,1.42,11.37,0.375,0.125,"Low volume conceded / high conversion conceded"
"Aston Villa",66,1.34,12.18,0.346,0.110,"Low volume conceded / low conversion conceded"
Newcastle,66,1.24,12.45,0.351,0.099,"Low volume conceded / low conversion conceded"
Wolves,42,1.82,12.45,0.368,0.146,"Low volume conceded / high conversion conceded"
Everton,48,1.16,12.63,0.354,0.092,"Low volume conceded / low conversion conceded"
"Crystal Palace",53,1.34,12.74,0.320,0.105,"Low volume conceded / low conversion conceded"
Bournemouth,56,1.21,12.82,0.357,0.095,"Low volume conceded / low conversion conceded"
Tottenham,38,1.71,13.74,0.356,0.125,"High volume conceded / high conversion conceded"
"Nott'm Forest",65,1.21,13.97,0.332,0.087,"High volume conceded / low converison conceded"
"West Ham",43,1.63,15.34,0.321,0.106,"High volume conceded / low converison conceded"
Ipswich,22,2.16,15.97,0.356,0.135,"High volume conceded / high conversion conceded"
Leicester,25,2.11,16.87,0.337,0.125,"High volume conceded / high conversion conceded"
Brentford,56,1.50,17.03,0.323,0.088,"High volume conceded / low converison conceded"
Southampton,12,2.26,17.95,0.375,0.126,"High volume conceded / high conversion conceded"
